ID;Countrycode;Countryname;potentially suitable land;potentially cultivable land;potentially available cropland
240;UKR;Ukraine;576794;570324;474142
244;UMI;United States Minor Outlying Islands;0;0;0
245;URY;Uruguay;172574;171012;152393
243;USA;United States;7339026;7209844;4537221
246;UZB;Uzbekistan;285979;281606;270148
248;VAT;Vatican City;1;0;0
196;VCT;Saint Vincent and the Grenadines;311;311;65
249;VEN;Venezuela;745254;733495;354590
35;VGB;British Virgin Islands;51;47;26
251;VIR;Virgin Islands, U.S.;236;204;89
250;VNM;Vietnam;316466;309510;165572
247;VUT;Vanuatu;10196;10117;5983
252;WLF;Wallis and Futuna;0;0;0
197;WSM;Samoa;2548;2540;2475
2;XAD;Akrotiri and Dhekelia;10;10;10
44;XCA;Caspian Sea;472;414;357
51;XCL;Clipperton Island;0;0;0
120;XKO;Kosovo;9026;8912;6615
167;XNC;Northern Cyprus;2978;2878;2678
176;XPI;Paracel Islands;0;0;0
216;XSP;Spratly Islands;0;0;0
254;YEM;Yemen;383462;382770;381231
211;ZAF;South Africa;1156379;1149673;1058421
255;ZMB;Zambia;738640;735977;197528
256;ZWE;Zimbabwe;385327;384117;238212
