strategy_id,parameter,min_2050,max_2050,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055
0,total_population,0.8,1.2,7451301,7533767,7614741,7693921,7768506,7840847,7910877,7978661,8044221,8107626,8168935,8228161,8285257,8340199,8392969,8443541,8491908,8538116,8582159,8624141,8664089,8702013,8737925,8771812,8803692,8833578,8861461,8887354,8911229,8933010,8952669,8970220,8985668,8999033,9010332,9019575,9026755,9031867
0,gdp,0.75,1.1,97556.44454,101951.8631,105873.843,108240.8706,111371.2374,114472.0344,117883.2604,121512.9623,125518.1792,129903.3398,134441.3671,139137.8215,143998.4465,149029.1793,154236.1511,159625.6898,165204.3296,170978.8279,176956.1535,183143.5267,189548.3958,196178.4591,203041.6788,210146.2885,217500.8157,225114.0853,232995.2283,241153.7035,249599.2967,258342.1296,267392.7004,276761.8921,286460.9784,296501.639,306895.9732,317656.5146,327821.5231,338311.8118
