strategy_id,variable,min_2050,max_2050,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055
0,gdp,0.75,1.1,97556.44454,101951.8631,105873.843,108240.8706,111371.2374,114472.0344,117883.2604,121512.9623,125518.1792,129903.3398,134441.3671,139137.8215,143998.4465,149029.1793,154236.1511,159625.6898,165204.3296,170978.8279,176956.1535,183143.5267,189548.3958,196178.4591,203041.6788,210146.2885,217500.8157,225114.0853,232995.2283,241153.7035,249599.2967,258342.1296,267392.7004,276761.8921,286460.9784,296501.639,306895.9732,317656.5146,327821.5231,338311.8118
0,total_population,0.8,1.2,7451301,7533767,7614741,7693921,7768506,7840847,7910877,7978661,8044221,8107626,8168935,8228161,8285257,8340199,8392969,8443541,8491908,8538116,8582159,8624141,8664089,8702013,8737925,8771812,8803692,8833578,8861461,8887354,8911229,8933010,8952669,8970220,8985668,8999033,9010332,9019575,9026755,9031867
0,occ_rate,0.7,1.5,3.145207224,3.132510984,3.123039933,3.116467695,3.108466552,3.100747094,3.092088431,3.082887531,3.072677398,3.061545236,3.050288103,3.038909142,3.02740852,3.015787388,3.004047025,2.99218838,2.980212977,2.968124899,2.955925565,2.943621359,2.931214898,2.91870811,2.90610268,2.893399199,2.880599622,2.867705534,2.854717437,2.841636764,2.8284631,2.815193772,2.801828266,2.788367771,2.774813123,2.761165651,2.747426542,2.733596564,2.712,2.695
0,unemployment_rate,0.6,1.5,0.75,0.745,0.74,0.735,0.73,0.725,0.72,0.715,0.71,0.705,0.7,0.695,0.69,0.685,0.68,0.675,0.67,0.665,0.66,0.655,0.65,0.645,0.64,0.635,0.63,0.625,0.62,0.615,0.61,0.605,0.6,0.595,0.59,0.585,0.58,0.575,0.57,0.565
